,title,year,duration,genres,rating,synopsis,directors,stars
511,Voices in the Wind,2020.0,139,"
Drama            ",6.9,"
Inspired by an actual occurrence in Japan Haru who has relocated to Hiroshima in southern Japan comes across a rogue telephone booth in the middle of nowhere when she returns to Iwate ...                ",Nobuhiro Suwa,"Shoko Ikezu,Shinsuke Kato,Tomokazu Miura,Serena Motola"
512,Relentless,2020.0,73,"
Action            ",4.8,"
An ex-convict released from prison comes to the aid of a young prostitute from a gang. He has one day to stay out of trouble before he leaves to start his new life. As events accelerate out...                ",Steven Murphy,"Steven Murphy,Tiffany-Ellen Robinson,Tim Faraday,Todd Von Joel"
513,Young Hearts,2020.0,81,"
Drama, Romance            ",5.3,"
Harper enters high school and sparks a relationship with her brother's best friend, Tilly. While Harper deals with social blowback, the older Tilly is congratulated, setting up a very ...                ","Sarah Sherman,Zachary Ray Sherman","Anjini Taneja Azhar,Quinn Liebling,Alex Jarmon,Ayla Carda"
514,Psychosis in Stockholm,2020.0,101,"
Drama            ",5.8,"
A mother and her daughter are going to Stockholm to celebrate the daughter's 14th birthday. On the train the mother begins to behave strangely and the daughter fears that another psychosis is about to take possession of her mother.",Maria Bäck,"Josefine Stofkoper,Josefin Neldén,Sanaz Saidi,Maria Bäck"
515,Psycho,2020.0,134,"
Crime, Thriller            ",6.2,"
Based on the Buddhist tale of Angulimala, a dreaded serial killer, Psycho tells the story of a blind man who gets involved in a murder mystery.",Mysskin,"Udhayanidhi Stalin,Aditi Rao Hydari,Nithya Menen,Ram"
516,Emerald Run,2020.0,90,"
Adventure            ",3.5,"
A Desperate man gets involved in a risky plan to smuggle emeralds across the Mexican border in order to save his daughter's life. When the deal goes awry and he is left for dead.",Eric Etebari,"John Schneider,Michael Paré,Steven Williams,David Chokachi"
517,Ella Bella Bingo,2020.0,75,"
Animation, Family, Musical            ",4.8,"
Ella Bella Bingo (Elleville Elfrid) and Henry are best friends, but one day a new boy moves into the neighborhood and everything changes.","Atle Solberg Blakseth,Frank Mosvold","Cherokee Rose Castro,Gard B. Eidsvold,Jack Fisher,Jack Fisher"
518,18% Grey,2020.0,110,"
Drama            ",5.8,"
When his wife leaves him, struggling Bulgarian photographer Zack sets out on a wild trip from London to Berlin. It is a journey that reveals the truth about his lost love - and ultimately to uncomfortable discoveries about himself.",Viktor Chouchkov,"Ruscen Vidinliev,Dolya Gavanski,Samuel Finzi,Ron Cook"
519,The Kung Fu Master,2020.0,126,"
Action            ",5.7,"
Rishi Ram and his sister Rithu Ram, both of whom are martial arts instructors settled in Rishikesh. Their peaceful life is turned chaotic when they cross paths with a notorious martial arts gang, leading to a spree of furious violence.",Abrid Shine,"Neeta Pillai,Jiji Scaria,Sanoop Dinesh,Sooraj S. Kurup"
520,ColOZio,2020.0,91,"
Drama            ",4.7,"
        ",Artemio Narro,"Orlando Moguel,Diego Calva,Hector Kotsifakis,Manolo Caso"
521,Naanu Matthu Gunda,2020.0,139,"
Drama            ",7.5,"
Shankar, an auto driver, finds a dog in his rickshaw one day. Feeling repulsive in the beginning, Slowly Shankar starts to warm to the canine. Their emotional bond becomes so strong that ...                ",Srinivas Thimmaiah,"Govinde Gowda,Samyuktha Hornadu,Shivaraj K.R. Pete"
522,Gul Makai,2020.0,132,"
Biography, Drama, War            ",2.5,"
Gul Makai' accounts the courageous journey and struggle of Nobel laureate Malala Yousufzai, from her humble upbringing in the Swat Valley to her becoming the champion for free education to all.",Amjad Khan,"Reem Shaikh,Divya Dutta,Atul Kulkarni,Om Puri"
523,Silencer,2020.0,106,"
Drama            ",7.7,"
The film tells the story of Eanasu, an old man of ethics, who is in constant struggle with people around him, including his only son Sunny on moral grounds. He surpasses his solitude with ...                ",Priyanandanan,"Sneha Divakaran,Irshad,Lal,Binoy Nambala"
524,Degree College,2020.0,161,"
Drama, Romance, Thriller            ",4.2,"
Parvati is the daughter of police and Shiva, a guy from the lower caste falls for her. As usual, the girl's family is against her love and hence she gets out of her house and marries Shiva....                ",Narasimha Nandi,"Sri Divya,Jayavani,Srinivas Madan,Duvvasi Mohan"
525,Rajavukku Check,2020.0,129,"
Drama            ",6.0,"
A CB-CID Officer, who suffers from Kleine Levin syndrome, returns home to find his teenage daughter has gone missing.",S. Rajkumar,"Cheran,Srushti Dange,Irfan,Sarayu Mohan"
526,Feride,2020.0,103,"
Comedy            ",1.9,"
Feride 'a fashion designer with big dreams' works for underground tailor workshop. To prove herself, she try to compete with big fashion companies in character design competition for an international gaming industry.","Ali Yorgancioglu,Zeynep Çamci","Zeynep Çamci,Osman Akca,Kerem Akin,Ali Barkin"
